14570,11292,"Reno, NV","Denver, CO",804,6725,245,R245
14635,11292,"Fort Myers, FL","Denver, CO",1607,6725,246,R246
14893,11292,"Sacramento, CA","Denver, CO",909,6725,247,R247
10397,11292,"Atlanta, GA","Denver, CO",1199,6003,248,R248
11109,11292,"Colorado Springs, CO","Denver, CO",73,6003,249,R249
11292,11042,"Denver, CO","Cleveland, OH",1201,6003,250,R250
11292,11109,"Denver, CO","Colorado Springs, CO",73,6003,251,R251
11292,11423,"Denver, CO","Des Moines, IA",589,6003,252,R252
11292,12278,"Denver, CO","Wichita, KS",420,6003,253,R253
11292,13871,"Denver, CO","Omaha, NE",472,6003,254,R254
11292,14869,"Denver, CO","Salt Lake City, UT",391,6003,255,R255
12278,11292,"Wichita, KS","Denver, CO",420,6003,256,R256
14730,11292,"Louisville, KY","Denver, CO",1024,6003,257,R257
15370,11292,"Tulsa, OK","Denver, CO",541,6003,258,R258
11193,11292,"Cincinnati, OH","Denver, CO",1069,6460,259,R259
11292,11066,"Denver, CO","Columbus, OH",1154,6460,260,R260
11292,11433,"Denver, CO","Detroit, MI",1123,6460,261,R261
11292,12266,"Denver, CO","Houston, TX",862,6460,262,R262
11292,12339,"Denver, CO","Indianapolis, IN",977,6460,263,R263
11292,13204,"Denver, CO","Orlando, FL",1546,6460,264,R264
11292,13204,"Denver, CO","Orlando, FL",1546,6460,265,R265
11292,13486,"Denver, CO","Missoula, MT",679,6460,266,R266
11292,13930,"Denver, CO","Chicago, IL",888,6460,267,R267
11292,13930,"Denver, CO","Chicago, IL",888,6460,268,R268
11292,14107,"Denver, CO","Phoenix, AZ",602,6460,269,R269
11292,15016,"Denver, CO","St. Louis, MO",770,6460,270,R270
11292,15412,"Denver, CO","Knoxville, TN",1162,6460,271,R271
11433,11292,"Detroit, MI","Denver, CO",1123,6460,272,R272
12264,11292,"Washington, DC","Denver, CO",1452,6460,273,R273
12266,11292,"Houston, TX","Denver, CO",862,6460,274,R274
12339,11292,"Indianapolis, IN","Denver, CO",977,6460,275,R275
13204,11292,"Orlando, FL","Denver, CO",1546,6460,276,R276
13486,11292,"Missoula, MT","Denver, CO",679,6460,277,R277
13930,11292,"Chicago, IL","Denver, CO",888,6460,278,R278
14107,11292,"Phoenix, AZ","Denver, CO",602,6460,279,R279
15016,11292,"St. Louis, MO","Denver, CO",770,6460,280,R280
15304,11292,"Tampa, FL","Denver, CO",1506,6460,281,R281
15412,11292,"Knoxville, TN","Denver, CO",1162,6460,282,R282
11292,11298,"Denver, CO","Dallas/Fort Worth, TX",641,6200,283,R283
11292,12339,"Denver, CO","Indianapolis, IN",977,6200,284,R284
11292,13198,"Denver, CO","Kansas City, MO",533,6200,285,R285
11292,13495,"Denver, CO","New Orleans, LA",1062,6200,286,R286
11292,14869,"Denver, CO","Salt Lake City, UT",391,6200,287,R287
11292,15376,"Denver, CO","Tucson, AZ",639,6200,288,R288
11921,14869,"Grand Junction, CO","Salt Lake City, UT",216,6200,289,R289
12339,11292,"Indianapolis, IN","Denver, CO",977,6200,290,R290
13198,11292,"Kansas City, MO","Denver, CO",533,6200,291,R291
13244,11921,"Memphis, TN","Grand Junction, CO",1061,6200,292,R292
13796,11292,"Oakland, CA","Denver, CO",957,6200,293,R293
11292,11433,"Denver, CO","Detroit, MI",1123,6830,294,R294
12266,11292,"Houston, TX","Denver, CO",862,6830,295,R295
13502,12891,"Montrose/Delta, CO","Lawton/Fort Sill, OK",593,6689,296,R296
11292,11413,"Denver, CO","Durango, CO",250,6904,297,R297
11413,11292,"Durango, CO","Denver, CO",250,6904,298,R298
11986,11292,"Grand Rapids, MI","Denver, CO",1015,6904,299,R299
11298,13502,"Dallas/Fort Worth, TX","Montrose/Delta, CO",722,6820,300,R300
13502,11298,"Montrose/Delta, CO","Dallas/Fort Worth, TX",722,6820,301,R301
11292,14877,"Denver, CO","Salina, KS",383,6932,302,R302
14877,11292,"Salina, KS","Denver, CO",383,6932,303,R303
11109,15016,"Colorado Springs, CO","St. Louis, MO",773,6085,304,R304
11292,11109,"Denver, CO","Colorado Springs, CO",73,6085,305,R305
12266,11292,"Houston, TX","Denver, CO",862,6085,306,R306
12266,12012,"Houston, TX","Gunnison, CO",886,6085,307,R307
11292,10559,"Denver, CO","Seattle, WA",1026,6910,308,R308
11292,12889,"Denver, CO","Las Vegas, NV",628,6910,309,R309
11292,14730,"Denver, CO","Louisville, KY",1024,6910,310,R310
14869,11292,"Salt Lake City, UT","Denver, CO",391,6910,311,R311
14869,11292,"Salt Lake City, UT","Denver, CO",391,6910,312,R312
11292,14057,"Denver, CO","Portland, OR",991,0A050,313,R313
12892,11292,"Los Angeles, CA","Denver, CO",862,0A050,314,R314
14100,11292,"Philadelphia, PA","Denver, CO",1558,0A050,315,R315
11292,13487,"Denver, CO","Minneapolis, MN",680,1260,316,R316
11292,13487,"Denver, CO","Minneapolis, MN",680,1260,317,R317
14869,11292,"Salt Lake City, UT","Denver, CO",391,1260,318,R318
11292,11986,"Denver, CO","Grand Rapids, MI",1015,7041,319,R319
11423,11292,"Des Moines, IA","Denver, CO",589,7041,320,R320
11109,11292,"Colorado Springs, CO","Denver, CO",73,6700,321,R321
11292,11109,"Denver, CO","Colorado Springs, CO",73,6700,322,R322
11292,11921,"Denver, CO","Grand Junction, CO",212,6700,323,R323
11292,12003,"Denver, CO","Great Falls, MT",624,6700,324,R324
11292,14057,"Denver, CO","Portland, OR",991,6700,325,R325
11292,14683,"Denver, CO","San Antonio, TX",794,6700,326,R326
11638,11109,"Fresno, CA","Colorado Springs, CO",833,6700,327,R327
11921,10372,"Grand Junction, CO","Aspen, CO",89,6700,328,R328
11921,11292,"Grand Junction, CO","Denver, CO",212,6700,329,R329
11921,11298,"Grand Junction, CO","Dallas/Fort Worth, TX",773,6700,330,R330
12003,11292,"Great Falls, MT","Denver, CO",624,6700,331,R331
13930,11921,"Chicago, IL","Grand Junction, CO",1100,6700,332,R332
14679,11292,"San Diego, CA","Denver, CO",853,6700,333,R333
15919,11292,"Fayetteville, AR","Denver, CO",616,6700,334,R334
