AIRCRAFT_TYPE,AIRCRAFT_CONFIG,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,RAMP_TO_RAMP,AIR_TIME,DISTANCE_GROUP,CLASS
698,1,143189,512,438,24,0,670,572,3,F
694,1,137929,600,555,575,0,443,356,2,F
634,1,185611,704,623,125,0,356,295,2,F
614,1,156705,652,571,111,0,730,621,3,F
614,1,165940,664,588,104,180,645,552,3,F
694,1,144521,600,503,276,704,613,538,3,F
614,1,156861,652,479,5,0,606,535,2,F
694,1,140058,600,545,119,0,473,405,2,F
622,1,189366,676,638,0,0,1766,1681,7,F
614,1,201956,830,754,5,0,620,528,2,F
698,1,137741,512,456,209,2448,597,533,3,F
614,1,159711,664,615,1272,4337,837,738,4,F
698,1,144162,512,397,593,2230,772,700,4,F
634,1,154589,716,497,24,0,541,459,2,F
637,1,561174,1464,668,3711,0,593,484,2,F
634,1,175495,716,684,5,6610,715,635,3,F
694,1,144598,600,397,5,0,474,401,2,F
622,1,183058,676,642,0,0,1593,1526,7,F
614,1,154028,664,617,112,0,569,461,2,F
634,1,164356,716,650,19,0,488,408,2,F
614,1,173600,700,660,1861,0,265,209,1,F
614,1,173600,700,624,0,0,841,768,3,F
619,1,128800,566,506,505,0,479,411,2,F
614,1,173600,700,651,36,0,784,718,4,F
619,1,128800,572,549,0,0,577,466,2,F
619,1,128800,572,553,387,0,473,410,2,F
614,1,173600,700,677,509,0,570,508,2,F
619,1,128800,572,561,165,0,581,510,2,F
619,1,128800,572,543,1591,0,470,391,2,F
612,1,138400,572,542,0,0,936,853,4,F
614,1,173600,700,649,0,0,501,436,2,F
619,1,128800,572,516,8,0,339,237,1,F
619,1,128800,572,551,82,0,426,360,2,F
673,1,87212,304,276,0,0,593,493,2,F
677,1,76368,280,256,0,0,514,422,2,F
677,1,76368,280,242,0,0,446,339,2,F
673,1,87212,304,208,0,0,347,232,1,F
694,1,145200,720,693,0,0,557,460,2,F
698,1,120000,600,561,0,0,558,466,2,F
694,1,145200,720,577,0,0,611,527,2,F
698,1,120000,600,567,0,0,557,434,2,F
614,1,170239,648,505,0,1286,425,353,2,F
675,1,44472,200,185,0,0,344,236,1,F
675,1,44472,200,158,0,0,322,264,1,F
631,1,50400,193,146,0,0,473,401,3,F
631,1,67200,258,211,0,0,680,593,3,F
691,2,432100,0,0,153735,0,581,472,2,G
691,2,424400,0,0,243523,0,596,499,3,G
626,2,470180,0,0,173084,0,320,240,1,G
626,2,470180,0,0,171992,0,283,212,1,G
631,1,88050,350,281,0,0,580,440,2,F
631,1,88050,350,308,0,0,751,609,2,F
631,1,88050,350,328,0,0,741,657,2,F
629,1,64000,250,163,0,0,486,335,1,F
673,1,76000,380,359,0,0,928,791,3,F
629,1,64000,250,180,0,0,438,350,1,F
673,1,76000,380,365,0,0,919,790,3,F
631,1,93700,350,280,0,0,322,225,1,F
631,1,93700,350,314,0,0,615,508,2,F
673,1,76000,380,364,0,0,428,316,1,F
629,1,67500,250,228,0,0,539,407,2,F
631,1,93700,350,299,0,0,723,572,2,F
631,1,93700,350,192,0,0,502,403,2,F
629,1,47000,200,142,0,0,339,263,1,F
629,1,67500,250,197,0,0,791,662,2,F
631,1,93700,350,230,0,0,350,235,1,F
631,1,93700,350,335,0,0,513,404,2,F
673,1,76000,380,357,0,0,741,638,2,F
629,1,54000,200,124,0,0,534,426,2,F
631,1,73960,279,201,0,0,348,235,1,F
