Aircraft_Group,Aircraft_Type,Aircraft_Config,LineNUM
6,698,1,1331
6,699,1,1332
6,699,1,1333
6,698,1,1334
6,698,1,1335
6,698,1,1336
6,699,1,1337
6,694,1,1338
6,699,1,1339
6,694,1,1340
6,694,1,1341
6,694,1,1342
6,699,1,1343
6,694,1,1344
6,698,1,1345
6,694,1,1346
6,694,1,1347
6,699,1,1348
6,699,1,1349
6,699,1,1350
6,698,1,1351
6,698,1,1352
6,699,1,1353
6,694,1,1354
6,698,1,1355
6,699,1,1356
6,694,1,1357
6,694,1,1358
6,694,1,1359
6,699,1,1360
6,694,1,1361
6,698,1,1362
6,698,1,1363
6,694,1,1364
6,699,1,1365
6,699,1,1366
6,699,1,1367
6,699,1,1368
6,698,1,1369
6,694,1,1370
6,698,1,1371
6,694,1,1372
6,698,1,1373
6,634,1,1374
6,634,1,1375
6,675,1,1376
6,675,1,1377
6,699,1,1378
6,673,1,1379
6,673,1,1380
6,629,1,1381
6,673,1,1382
6,629,1,1383
6,673,1,1384
6,673,1,1385
6,698,1,1386
6,694,1,1387
6,614,1,1388
6,694,1,1389
6,694,1,1390
6,634,1,1391
6,612,1,1392
6,698,1,1393
6,699,1,1394
6,694,1,1395
6,694,1,1396
6,694,1,1397
6,675,1,1398
6,675,1,1399
6,626,2,1400
6,699,1,1401
6,699,1,1402
6,694,1,1403
6,694,1,1404
6,631,1,1405
6,631,1,1406
6,694,1,1407
6,634,1,1408
6,698,1,1409
6,614,1,1410
6,614,1,1411
6,614,1,1412
6,612,1,1413
6,614,1,1414
6,612,1,1415
6,677,1,1416
6,698,1,1417
6,698,1,1418
6,626,2,1419
6,629,1,1420
6,673,1,1421
6,634,1,1422
6,698,1,1423
6,614,1,1424
6,614,1,1425
6,612,1,1426
6,677,1,1427
6,694,1,1428
6,694,1,1429
7,740,2,1430
6,675,1,1431
6,675,1,1432
6,614,1,1433
6,629,1,1434
6,698,1,1435
6,694,1,1436
6,634,1,1437
6,614,1,1438
6,694,1,1439
6,675,1,1440
8,888,1,1441
6,629,1,1442
6,673,1,1443
6,694,1,1444
6,698,1,1445
6,694,1,1446
6,698,1,1447
6,634,1,1448
6,698,1,1449
6,614,1,1450
6,614,1,1451
6,612,1,1452
6,612,1,1453
6,614,1,1454
6,614,1,1455
6,694,1,1456
6,626,2,1457
6,626,2,1458
6,675,1,1459
6,675,1,1460
6,675,1,1461
8,888,1,1462
6,631,1,1463
6,629,1,1464
6,629,1,1465
6,629,1,1466
6,629,1,1467
6,614,1,1468
6,694,1,1469
6,614,1,1470
6,677,1,1471
6,675,1,1472
6,691,2,1473
8,888,1,1474
6,698,1,1475
6,698,1,1476
6,631,1,1477
6,629,1,1478
6,634,1,1479
6,634,1,1480
6,698,1,1481
6,694,1,1482
6,698,1,1483
6,614,1,1484
6,694,1,1485
6,612,1,1486
6,612,1,1487
6,612,1,1488
6,612,1,1489
6,614,1,1490
6,675,1,1491
6,629,1,1492
6,629,1,1493
6,698,1,1494
6,612,1,1495
6,612,1,1496
6,612,1,1497
6,675,1,1498
6,612,1,1499
6,612,1,1500
6,612,1,1501
6,698,1,1502
6,698,1,1503
6,694,1,1504
6,673,1,1505
4,405,1,1506
6,698,1,1507
6,673,1,1508
6,629,1,1509
6,698,1,1510
6,698,1,1511
6,698,1,1512
6,694,1,1513
6,694,1,1514
6,698,1,1515
6,698,1,1516
6,614,1,1517
6,614,1,1518
4,405,1,1519
6,698,1,1520
6,673,1,1521
6,673,1,1522
6,673,1,1523
6,629,1,1524
6,673,1,1525
6,698,1,1526
6,634,1,1527
6,612,1,1528
6,614,1,1529
6,608,1,1530
6,698,1,1531
6,673,1,1532
6,694,1,1533
6,694,1,1534
6,608,1,1535
6,631,1,1536
6,614,1,1537
6,634,1,1538
6,634,1,1539
6,698,1,1540
6,614,1,1541
6,614,1,1542
6,631,1,1543
6,629,1,1544
6,694,1,1545
6,699,1,1546
6,699,1,1547
6,673,1,1548
6,673,1,1549
6,673,1,1550
6,634,1,1551
6,634,1,1552
6,614,1,1553
6,698,1,1554
6,675,1,1555
4,405,1,1556
6,694,1,1557
6,629,1,1558
6,673,1,1559
6,694,1,1560
6,698,1,1561
6,634,1,1562
6,622,1,1563
6,694,1,1564
6,614,1,1565
6,614,1,1566
6,677,1,1567
4,405,1,1568
6,614,1,1569
6,656,1,1570
6,614,1,1571
6,629,1,1572
6,614,1,1573
6,622,1,1574
6,612,1,1575
6,656,1,1576
6,694,1,1577
6,631,1,1578
6,631,1,1579
6,631,1,1580
6,629,1,1581
6,629,1,1582
6,673,1,1583
6,614,1,1584
6,634,1,1585
6,612,1,1586
6,675,1,1587
6,675,1,1588
6,629,1,1589
6,629,1,1590
6,631,1,1591
6,614,1,1592
6,614,1,1593
6,675,1,1594
6,631,1,1595
6,629,1,1596
6,673,1,1597
6,612,1,1598
4,461,1,1599
4,461,1,1600
6,629,1,1601
6,629,1,1602
6,629,1,1603
6,629,1,1604
6,629,1,1605
6,614,1,1606
6,614,1,1607
6,614,1,1608
6,612,1,1609
6,675,1,1610
6,675,1,1611
4,479,1,1612
4,479,1,1613
4,458,1,1614
4,479,1,1615
4,479,1,1616
4,479,1,1617
4,458,1,1618
4,479,1,1619
4,458,1,1620
6,631,1,1621
6,629,1,1622
6,629,1,1623
6,614,1,1624
6,677,1,1625
6,675,1,1626
6,675,1,1627
6,629,1,1628
6,673,1,1629
6,634,1,1630
6,634,1,1631
6,612,1,1632
6,612,1,1633
6,612,1,1634
6,698,1,1635
6,698,1,1636
4,458,1,1637
6,622,1,1638
6,631,1,1639
6,631,1,1640
6,629,1,1641
6,629,1,1642
6,694,1,1643
6,614,1,1644
