ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,LineNUM
WA,53,Washington,CO,8,Colorado,592
MO,29,Missouri,CO,8,Colorado,593
OK,40,Oklahoma,CO,8,Colorado,594
CA,6,California,CO,8,Colorado,595
OR,41,Oregon,CO,8,Colorado,596
WA,53,Washington,CO,8,Colorado,597
CA,6,California,CO,8,Colorado,598
AZ,4,Arizona,CO,8,Colorado,599
TN,47,Tennessee,CO,8,Colorado,600
CO,8,Colorado,CA,6,California,601
CO,8,Colorado,MN,27,Minnesota,602
CO,8,Colorado,MO,29,Missouri,603
TX,48,Texas,CO,8,Colorado,604
CA,6,California,CO,8,Colorado,605
OK,40,Oklahoma,CO,8,Colorado,606
PA,42,Pennsylvania,CO,8,Colorado,607
MO,29,Missouri,CO,8,Colorado,608
MO,29,Missouri,CO,8,Colorado,609
CO,8,Colorado,AZ,4,Arizona,610
AZ,4,Arizona,CO,8,Colorado,611
MN,27,Minnesota,CO,8,Colorado,612
CO,8,Colorado,IA,19,Iowa,613
WY,56,Wyoming,CO,8,Colorado,614
CO,8,Colorado,WY,56,Wyoming,615
CO,8,Colorado,TN,47,Tennessee,616
MN,27,Minnesota,CO,8,Colorado,617
